Line of route,ELR
GW108,MLN4
GW176,HAN
GW185,MWB
GW240,DEC
GW401,CHL
GW425,SAW
GW425,SSS
GW450,FEC
GW500,BKE
GW505,RTR1
GW530,MLN1
GW572,FNS1
GW600,BSW
GW606,DAC
GW610,BAE2
GW637,DAC
GW640,LOO
GW680,FAL2
GW680,FAL3
GW700,SWM2
GW731,WSJ2
GW734,DJP
GW773,BJR
GW790,ROC
GW830,BRY
GW834,MOA
GW860,CPL
GW877,OVE
GW900,BSW
GW960,MIL
MD101,LEC2
MD150,KGW
MD155,KGC
MD166,LEC1
MD175,BDN
MD301,RBS2
MD325,SSP
MD350,BJW3
MD405,LSC1
MD410,CNN
MD435,HSJ
MD501,DBP1
MD710,MCJ1
MD726,MCJ4
MD736,BFO
MD736,OXD
LN120,HDB
LN170,SPD2
LN195,NOG1
LN206,NOB1
LN220,BCB
LN3201,SPC6
LN3213,MCL
LN3231,WGP
LN3246,AJM1
LN3252,MJT1
LN3501,DBP1
LN3625,NOB1
LN3645,DEX
LN624,REB2
LN627,LLP2
LN632,DSN2
LN652,SES
LN674,HLK
LN676,HLK
LN676,PLG1
LN694,EJM
LN740,MWN
LN742,BRI1
LN742,BRI2
LN746,TYB1
LN774,BAC2
LN786,BEC
LN804,MGW
LN804,SMJ1
LN808,MAS
LN810,SEL
LN818,HCD
LN826,PED4
LN838,LEH1
LN842,SKA
LN852,LBE2
LN852,LBE3
LN852,LBE4
LN860,MDL1
LN860,MVL4
LN862,PEH
LN880,YMS
LN896,DRA1
LN898,HUL2
LN922,TJC3
LN924,ILK1
NW2001,WJL2
NW2003,RDB
NW2005,SCR
NW2017,SCN
NW2023,SBH1
NW2027,SCT2
NW2029,OME3
NW3001,CNH2
NW3007,WDB1
NW3015,LJT1
NW3023,CDM1
NW3031,NSN
NW5001,CMP1
NW5001,CMP2
NW7001,MPR1
NW7009,FHR4
NW7011,LHL
NW7025,PPA1
NW7025,PPA2
NW7027,PPP1
NW9001,HGC
NW9001,NMC1
NW9011,RYH1
NW9013,WJP1
NW9909,NEC2
SC023,HMN2
SC031,GSW
SC031,MEN1
SC033,MAX
SC047,LFS1
SC055,KHL
SC061,CNL
SC065,GOU1
SC067,WYS
SC069,CON2
SC081,BYL
SC106,PNS
SC107,EGM4
SC109,CMS
SC109,PMT
SC110,PMT
SC116,CSN
SC119,ECN2
SC119,SCM4
SC123,NEM3
SC125,YKR
SC135,BCH
SC136,HYD
SC147,ECM8
SC153,CPH
SC163,SUB1
SC164,NNS
SC165,GGE
SC191,ECN2
SO110,TLP1
SO130,HSE
SO130,LEE
SO130,TML
SO130G,CSM1
SO220,MSW
SO250,BSP2
SO250,FLL1
SO250,WLL
SO280,FTL
SO280,LTC
SO300,BEX
SO300,PSF
SO500,SSC
SO500,WCS
SO530,SCU1
SO540,SCU1
SO550,RTT
SO620,STS
SO645,ATL
SO650,BJN2
SO680,BTH1
SO680,SSC
SO681,ELL4
SW120,NSA
SW125,BKE
SW140,SDP1
SW145,SOY
SW147,MIS
SW185,MPC
SW210,RDG2
EA1320,CRF1
EA1325,ELL1
SW220,CKL
MD137,WCL
MD137,UHL
MD140,LEC1
GW4501,AMB
W628,SUT2
W628,TUR/ CWR
GW710,NO ELR
SC107,ECM9
SC147,EGM3
NW3007,WDB2 /3
NW6005,MVM
NW8007,HXS/ NMM
EA1012,LTN1
EA1100,CTH
EA1120,NTE
EA1160,BGK
EA1170,ENT
EA1180,GRE
EA1220,TLA
EA1310,BOK4
EA1320,DWW1
EA1340,LLS2
EA1380,FSS3
EA1395,BKR
EA1520,SIZ
EA1540,SOB2
GW108,MLN3
GW117,GEC
GW182,STA
GW190,RNJ
GW4501,AFR
GW454,CNX
GW490,SWM2
GW540,BSW
GW560,SWY
GW637,CAL
GW720,EUB
GW736,GNQ3
GW740,MAI
GW750,HNL2
GW870,VOG
GW900,CRL
GW900,SWM2
GW915,GWA
MD101,LEC1
MD166,WLL
MD167,WLL
MD170,ACW
MD232,WNS
MD330,SCL
MD345,BJW1
MD360,WDJ
MD430,OWW
MD501,DBP3
MD560,WOP
MD805,OXC
MD900,ABW
LN147,PMJ
LN170,SPD1
LN185,ABE1
LN185,GRS4
LN3201,SPC1
LN3204,TSN1
LN3216,FTL
LN3249,LSN
LN3264,AML
LN3520,MJS1
LN3535,BCJ
LN3601,GSM1
LN600,ECM2
LN622,NEN1
LN626,LEN2
LN630,PUL
LN634,MBW1
LN642,SSK1
LN644,BOH
LN652,POC1
LN740,PYE3
LN748,WHR
LN774,OXO
LN824,SKM
LN836,HUL4
LN838,HAY2
LN838,LEH3
LN846,CJS
LN848,HPC
LN864,DRS1
LN864,DRS2
LN878,SHG
LN882,WAG2
LN884,OAJ
LN886,MKB1
