Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-North	1041	NW1021	NGJ	Newton-le-Willows Jn – Golborne Jn	0	00	0	53	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1041	NW1023	HOB2	Haydock Branch Jn – End of line (Former Kelbit PS)	0	00	0	53	Y	N	N	N	N	N	N	N	
London-North-Western-North	1041	NW1025	IMG	Bamfurlong Sidings Jn – Ince Moss Jn (Ince Moss Goods lines)	0	18	0	78	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1041	NW1027	PSR1	Preston South Jn – Preston Docks Branch ELR Change	21	39	21	47	Y	N	N	N	N	N	N	N	
London-North-Western-North	1041	NW1027	PSR2	Preston Docks Branch ELR Change – Network Rail Boundary (Ribble Steam Railway)	0	00	0	40	Y	N	N	N	N	N	N	N	
London-North-Western-North	1041	NW2001	WJL1	Weaver Jn – Ditton East Jn	174	53	182	67	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1041	NW2001	WJL2	Ditton East Jn – Speke East Jn	182	67	186	72	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1041	NW2001	WJL3	Speke Est Jn – Edge Hill East Jn	186	72	191	75	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1041	NW2001	WJL4	Edge Hill East Jn – Liverpool Lime Street	191	75	193	52	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1041	NW2003	RDB	Runcorn – Network Rail Boundary (Runcorn Dock Branch)	0	02	0	69	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1041	NW2005	SCR	Speke East Jn – Garston Jn	22	59	23	52	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1041	NW2007	AEG	Allerton East Jn – Garston Jn	0	00	0	28	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1042	NW2009	SDJ2	End of line (Latchford) – Ditton East Jn	10	06	18	55	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1042	NW2011	WOA1	Walton Old Jn – Arpley Jn	0	68	0	00	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1042	NW2015	DSE	Ordsall Lane Jn – Newton-le-Willows Jn	30	38	16	19	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1042	NW2015	DSE	Newton-le-Willows Jn – Earlestown East Jn (Electrified section)	16	19	14	75	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1042	NW2015	DSE	Earlestown East Jn – Edge Hill	14	75	1	78	Y * R1	Y	Y	Y	N	Y	R2	N	R1 * applies between between Bootle Branch Jn (1m 78ch) and Edge Hill R2 * Permitted Edge Hill to Huyton Jn only
London-North-Western-North	1042	NW2017	SCN	Eccles Station Jn – Weaste Branch Network Rail / MSC Boundary	0	00	0	54	Y	N	N	N	N	N	N	N	
London-North-Western-North	1042	NW2019	PJL	Parkside Jn – Lowton Jn (East Curve lines)	0	05	0	36	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1042	NW2021	EEE	Earlestown South Jn – Earlestown West Jn (Liverpool Curve)	186	74	187	15	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	1042	NW2023	SBH3	Springs Branch Jn – Gerards Bridge Jn	12	54	5	66	Y *	Y	Y	N	N	Y	Y	N	
London-North-Western-North	1042	NW2023	SBH2	Gerards Bridge Jn – St Helens Station Jn	5	66	5	12	Y *	Y	Y	N	N	Y	Y	N	
London-North-Western-North	1042	NW2023	SBH1	St Helens Station Jn – Huyton Jn	5	12	0	-18	Y *	Y	Y	N	N	Y	Y	N	
London-North-Western-North	1042	NW2025	SHS1	St Helens Station Jn – Sutton Oak Network Rail Boundary	7	15	6	04	Y	N	N	N	N	N	N	N	
London-North-Western-North	1042	NW2027	SCT1/2	Edge Hill, Bootle Branch Jn –Network Rail Boundary (MDHC)	0	15	5	53	Y *	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1042	NW2029	OME3	Olive Mount Jn – Edge Lane Jn	0	10	0	52	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1042	NW3001	CNH1	Crewe North Jn – Limit of Electrification (Crewe Steelworks)	158	18	159	41	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1042	NW3001	CNH1	Limit of Electrification (Crewe Steelworks) – Chester East Jn	159	41	178	66	Y	N	N	N	N	N	N	N	
London-North-Western-North	1042	NW3001	CNH2	Chester East Jn – Change of ELR (Chester Windmill Lane Tunnel)	178	66	179	56	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1042	NW3001	CNH3	Change of ELR (Chester Windmill Lane Tunnel) – Route Boundary LNW / Wales (Rockcliffe Hall)	179	56	188	40	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1042	NW3001	CNH3	Route Boundary LNW / Wales (Rockcliffe Hall) – Holyhead	188	40	263	56	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW3003	CHW1	Chester East Jn – Acton Grange Jn	0	24	16	19	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3005	WSJ2	Sectional Appendix Boundary (GW731) – Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	199	00	202	60	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1044	NW3005	WSJ2	Route Boundary Wales / LNW – Saltney Jn	202	60	212	06	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1044	NW3007	WDB1	Wrexham Central – Wrexham Exchange Jn	0	16	0	68	Y * R1	Y	N	N	N	N	N	N	R1 * applies between Wrexham General (0m 49ch) and Wrexham Exchange Jn
London-North-Western-North	1044	NW3007	WDB1	Wrexham Exchange Jn – Change of RA at 13m 20ch (South end of Hawarden Bridge)	0	68	13	20	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3007	WDB1	Change of RA at 13m 20ch (South end of Hawarden Bridge) – Change of ELR	13	20	13	33	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3007	WDB2	Change of ELR (Hawarden Bridge) – Change of ELR (Site of Former Dee Marsh Jn West)	14	15	14	00	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3007	WDB3	Change of ELR (Site of Former Dee Marsh Jn West) – Route Boundary Wales / LNW (Burton Point)	14	00	11	00	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3007	WDB3	Route Boundary Wales / LNW (Burton Point) – Bidston Dee Jn	11	00	0	08	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1044	NW3009	CVS	Chester North Jn – Chester South Jn	0	36	0	13	Y	Y	Y	N	N	N	N	N	
