ROUTE,PAGE,LINE OF ROUTE,LINE OF ROUTE / SECTOR DESCRIPTION,W6,W7,W8,W9,W9PLUS,W10,W10A,W12,NOTES
Scotland,1140,SC067,Wemyss Bay Jn – Wemyss Bay,Y *,Y,N,N,N,N,N,N,
Scotland,1140,SC069,Containerbase Jn – Greenock CPA Terminal (Goods Line) (OOU),–,–,–,–,–,–,–,–,Not Network Rail infrastructure. Line 'Out of Use'
Scotland,1140,SC073,Kilwinning Jn – Largs,Y *,Y,Y,Y,N,N,N,N,
Scotland,1140,SC075,Misk to Stevenston (Goods Line) (OOU),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1140,SC077,Ardrossan South Beach to Adrossan Harbour,Y *,N,N,N,N,N,N,N,
Scotland,1140,SC079,Hunterston – Hunterston Low Level Sdgs (Goods Line),Y,N,N,N,N,N,N,N,
Scotland,1140,SC081,Byrehill Jn – Dubbs Jn,Y,Y,N,N,N,N,N,N,
Scotland,1140,SC083,Snodgrass - Bogside (Goods Line) (OOU),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1140,SC085,Ayr Harbour – Newton Jn (Goods Line),Y,Y,N,N,N,N,N,N,
Scotland,1140,SC087,Newton Jn – Mauchline (Goods Line),Y,Y,N,N,N,N,N,N,
Scotland,1140,SC089,Annbank – Killoch Colliery (Goods Line),Y,N,N,N,N,N,N,N,
Scotland,1140,SC091,Dalrymple Jn – Chalmerston (Goods Line),Y,N,N,N,N,N,N,N,
Scotland,1140,SC093,Motherwell – Coatbridge FLT,Y *,Y,Y,Y,N,Y,N,N,
Scotland,1140,SC093,Coatbridge FLT – Garnqueen North Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1140,SC093,Garnqueen North Jn – Greenhill Lower Jn,Y *,Y,Y,Y,N,N,N,N,
Scotland,1140,SC097,Whifflet South Jn – Sunnyside Jn (Goods Line),Y,Y,Y,N,N,N,N,N,
Scotland,1140,SC099,Whifflet North Jn – Rutherglen East Jn,Y *,Y,Y,Y,N,N,N,N,
Scotland,1140,SC101,Coatbridge Jn – Langloan Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1140,SC103,Garnqueen North Jn – Cowlairs West Jn,Y *,Y,Y,Y,N,N,N,N,
Scotland,1140,SC105,Gartsherrie South Jn – Gartcosh Jn,Y,Y,Y,Y,N,R1,N,N,R1 W10 prohibited EXCEPT for use of Coatbridge FLT Headshunt Line
Scotland,1140,SC106,Sighthill West Jn – Cowlairs South Jn (Chord Line),Y,N,N,N,N,N,N,N,
Scotland,1141,SC107,Edinburgh Waverley – Princes Street Gardens,Y *,R1,R1,R1,N,N,N,N,R1 W9 prohibited EXCEPT all through routes Edinburgh Waverley Station and Lines W & Z between Edinburgh Waverley and Princes Street Gardens W9 W8 W7 prohibited Lines X & Y between Edinburgh Waverley and Princes Street Gardens
Scotland,1141,SC107,Princes Street Gardens – Haymarket Central Jn,Y *,Y,R1,R1,N,N,N,N,R1 W8 W9 ~prohibited both Lines Haymarket North Tunnel
Scotland,1141,SC107,Haymarket Central Jn – Haymarket West Jn,Y,Y,Y,N,N,Y,N,N,
Scotland,1141,SC107,Haymarket West Jn – Newbridge Jn,Y *,Y,Y,Y,N,Y,N,N,
Scotland,1141,SC107,Newbridge Jn – Winchburgh Jn,Y *,Y,N,N,N,N,N,N,
Scotland,1141,SC107,Winchburgh Jn – Polmont Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1141,SC107,Polmont Jn – Greenhill Upper Jn via Falkirk High,Y *,Y,N,N,N,N,N,N,
Scotland,1141,SC107,Greenhill Upper Jn – Cowlairs West Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1141,SC107,Cowlairs West Jn – Glasgow Queen Street,Y,N,N,N,N,N,N,N,
Scotland,1141,SC109,Polmont Jn – Grangemouth Jn,Y,Y,Y,N,N,N,N,N,
Scotland,1141,SC109,Grangemouth Jn – Carmuirs East Jn,Y *,Y,Y,Y,N,N,N,N,
Scotland,1141,SC109,Carmuirs East Jn – Carmuirs West Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1141,SC109,Carmuirs West Jn – Greenhill Lower Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1141,SC109,Greenhill Lower Jn – Greenhill Upper Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1141,SC110,Carmuirs East Jn – Larbert Jn,Y,Y,Y,N,N,N,N,N,
Scotland,1141,SC111,Newbridge Jn – Bathgate inc. Carmondean Jn,Y *,Y,Y,Y,N,Y,N,N,
Scotland,1141,SC113,Winchburgh Jn – Dalmeny Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1141,SC115,Cowlairs West Jn – Knightswood North Jn,Y,Y,Y,N,N,N,N,N,
Scotland,1141,SC1150,Maryhill Park Jn – Anniesland,Y,N,N,N,N,N,N,N,
Scotland,1141,SC117,Grangemouth Jn – Grangemouth,Y *,Y,Y,Y,N,N,N,N,
Scotland,1141,SC119,Greenhill Upper Jn – Greenhill Lower Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1142,SC119,Greenhill Lower Jn – Carmuirs West Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1142,SC119,Carmuirs West Jn – Stirling Middle Jn,Y,Y,Y,N,N,N,N,N,
Scotland,1142,SC119,Stirling Middle Jn – Perth South Jn,Y *,Y,S1,N,N,N,N,N,S1 The following combinations are permitted: Up to: 2590 high x 2500 wide box on FCA All Lines 2590 high x 2550 wide box on FKA IKA wagons All Lines Safeway refrigerated box on IKA FKA IFA FIA wagon 2896 high x 2500 wide box on FKA wagons Up Line 2675 high x 2550 wide box on FCA wagons Up Line 2896 high x 2600 wide box on IKA wagons Up line 30 mph at Br.66 [140m 09ch]
Scotland,1142,SC119,Perth South Jn – Dundee Central Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1142,SC123,Bathgate – Airdrie,Y,Y,Y,Y,N,Y,N,N,
Scotland,1142,SC123,Airdrie – Sunnyside Jn,Y,Y,N,N,N,N,N,N,
Scotland,1142,SC123,Sunnyside Jn – High Street Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1142,SC123,High Street Jn – Knightswood North Jn,Y *,Y,N,N,N,N,N,N,
Scotland,1142,SC123,Knightswood North Jn – Craigendoran Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1142,SC123,Craigendoran Jn – Helensburgh Central,Y *,N,N,N,N,N,N,N,
Scotland,1142,SC125,Hyndland East Jn – Dalmuir (via Yoker),Y *,Y,N,N,N,N,N,N,
Scotland,1142,SC127,Sunnyside Jn – Gunnie Yard Goods Line) (OOU),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1142,SC129,Springburn – Bellgrove Jn,Y,Y,Y,N,N,N,N,N,
Scotland,1142,SC129,Sighthill East Jn – Glasgow Works (Springburn) (Railcare Ltd),Y *,N,N,N,N,N,N,N,
Scotland,1142,SC131,High Street Jn – Shields Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1142,SC133,Westerton Jn – Milngavie,Y *,Y,N,N,N,N,N,N,
Scotland,1143,SC135,Dalreoch Jn – Balloch,Y *,N,N,N,N,N,N,N,
Scotland,1143,SC136,Hyndland North Jn – Hyndland West Jn,Y,Y,N,N,N,N,N,N,
Scotland,1143,SC137,Clydebank Dock Jn – Rothesay Dock (Goods Line) (OOU),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1143,SC139,Clydebank Jn – Dalmuir Riverside (Goods Line) (OOU),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1143,SC141,Craigendoran Jn – Fort William,Y *,Y,Y,N,N,N,N,N,
Scotland,1143,SC143,Crianlarich – Oban,Y *,Y,N,N,N,N,N,N,
Scotland,1143,SC143,Lower Crianlarich Siding,N,N,N,N,N,N,N,N,Part NOT Network Rail infrastructure
Scotland,1143,SC145,Fort William – Annat Paper Mill GF,Y *,Y,Y,N,N,N,N,N,
Scotland,1143,SC145,Annat Paper Mill GF – Mallaig,Y *,Y,N,N,N,N,N,N,
Scotland,1143,SC147,"Berwick – Edinburgh, Waverley East End",Y *,Y,Y,Y,R1 R2 R3 R4 R5 R6 R7 R8,R1 R2 R3 R4 R5 R6 R7 R8,R1 R2 R3 R4 R5 R6 R7 R8,R1 R2 R3 R4 R5 R6 R7 R8,"R1 PROHIBITED Berwick to Territory Bounday R2 PROHIBITED Monktonhall Jn to Edinburgh, Waverley East End R3 PROHIBITED Granthouse Up and Down Passenger Loops R4 PROHIBITED Torness Up sidings R5 PROHIBITED Oxwellmains Up and Down sidings R6 PROHIBITED Dunbar Down and Up Passenger Loop R7 PROHIBITED Drem Up and Down Passenger Loops R8 PROHIBITED Prestonpans Up Passenger Loop"
Scotland,1143,SC147,"Edinburgh, Waverley East End – Princes Street Gardens",Y *,Y,R1,R1,N,N,N,N,R1 W8 W9 Prohibited EXCEPT all through routes Edinburgh Waverley Station and Lines W & Z between Edinburgh Waverley and Princes Street Gardens
Scotland,1143,SC147,Princes Street Gardens to Haymarket Central Jn,Y *,Y,R1,R1,N,N,N,N,R1 W8 W9 Prohibited both Lines Haymarket North Tunnel
Scotland,1143,SC149,North Berwick – Drem Jn,Y,Y,N,N,N,N,N,N,
Scotland,1144,SC151,Portobello – Leith South Yard (Goods Line),Y,Y,Y,N,N,N,N,N,
Scotland,1144,SC153,Craigentinny – Powderhall (Goods Line),Y,Y,N,N,N,N,N,N,
Scotland,1144,SC155,Monktonhall Jn – Millerhill Yard (Goods Line),Y,Y,Y,Y,R1,R1,R1,R1,R1 PROHIBITED Millerhill Yard sidings
Scotland,1144,SC157,Millerhill South Jn – Millerhill East Jn (Goods Line),Y,Y,Y,N,N,N,N,N,
Scotland,1144,SC159,End of Line (former Bilston Br) – Millerhill South Jn (Goods Line),Y,N,N,N,N,N,N,N,
Scotland,1144,SC159,Millerhill South Jn – Millerhill Yard Goods Line),Y,Y,Y,Y,N,N,N,N,
Scotland,1144,SC161,Millerhill Yard – Portobello,Y *,Y,Y,Y,R1,R1,R1,R1,R1 PROHIBITED Nidrie South Jn to Portobello
Scotland,1144,SC163,Portobello – Niddrie West,Y,Y,Y,Y,Y,Y,Y,Y,
Scotland,1144,SC165,Niddrie South Jn – Niddrie West Jn,Y,Y,Y,Y,Y,Y,Y,Y,
Scotland,1144,SC165,Niddrie West Jn – Craiglockhart Jn,Y,Y,Y,Y,Y,Y,Y,Y,
Scotland,1144,SC165,Craiglockhart Jn – Gorgie Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1144,SC165,Gorgie Jn – Haymarket West Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1144,SC167,Craiglockhart Jn – Slateford Jn,Y,Y,Y,Y,R1,R1,R1,R1,R1 PROHIBITED Slateford east sidings
Scotland,1144,SC169,Gorgie Jn – Haymarket Central Jn,Y,Y,Y,Y,N,N,N,N,
Scotland,1144,SC171,Edinburgh Waverley – Princes Street Gardens,Y *,R1,R1,R1,N,N,N,N,R1 W9 prohibited EXCEPT all through routes Edinburgh Waverley Station and Lines W & Z between Edinburh Waverley and Princes Street Gardens W9 W8 W7 prohibited Lines X & Y between Edinburh Waverley and Princes Street Gardens
Scotland,1145,SC171,Princes Street Gardens – Haymarket Central Jn,Y *,Y,R1,R1,N,N,N,N,R1 W8 W9 Prohibited both Lines Haymarket North Tunnel
Scotland,1145,SC171,Haymarket West Jn – Thornton North Jn,Y *,Y,N,N,N,N,N,N,
Scotland,1145,SC171,Thornton North Jn – Ladybank Jn,Y *,Y,Y,N,N,N,N,N,
Scotland,1145,SC171,Ladybank Jn – Dundee,Y *,Y,N,N,N,N,N,N,
Scotland,1145,SC173,Inverkeithing Central Jn – Thornton North Jn (via Cowdenbeath),Y *,Y,Y,N,N,N,N,N,
Scotland,1145,SC175,Rosyth Dockyard – Inverkeithing South Jn (Goods Line),Y,Y,Y,N,N,N,N,N,
Scotland,1145,SC176,Inverkeithing North Jn – Inverkeithing East Jn (Inverkeithing Curve),Y,Y,N,N,N,N,N,N,
Scotland,1145,SC177,Thornton North Jn – Methil Power Station (Goods Line),Y,N,N,N,N,N,N,N,
Scotland,1145,SC178,Thornton South Jn – Thornton West Jn,Y,Y,N,N,N,N,N,N,
Scotland,1145,SC181,Ladybank Jn – Hilton Jn,Y,Y,Y,N,N,N,N,N,
Scotland,1145,SC183,Stirling Middle Jn – (Kincardine (Clackmannan) Jn),Y,Y,Y,Y,N,N,N,N,
Scotland,1145,SC183,(Kincardine (Clackmannan) Jn) – Charlestown Jn,Y,N,N,N,N,N,N,N,
Scotland,1145,SC185,Elbowend Jn – Crombie RNAD (Goods Line),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1145,SC187,Glencraig GF – Bowhill (Goods Line),–,–,–,–,–,–,–,–,Line Out of Use
Scotland,1146,SC189,Westfield – Redford Jn (Goods Line),Y,N,N,N,N,N,N,N,
