ROUTE	PAGE	LINE OF ROUTE	LINE OF ROUTE / SECTOR DESCRIPTION	W6A	W7	W8	W9	W9PLUS	W10	W10A	W12	NOTES
Western	0822	GW260	Kennington Jn – Morris Cowley	Y	Y	Y	N	N	N	N	N	
Western	0822	GW277	Oxford North Jn – Route Boundary (MD736) 29m 25ch	Y	Y	Y	Y	N	Y	N	Y	
Western	0822	GW310	Wolvercot Jn – Norton Jn	Y *	N	N	N	N	N	N	N	
Western	0822	GW317	Honeybourne – Long Marston	Y	N	N	N	N	N	N	N	
Western	0822	GW401	Route Boundary (MD306) (Ashchurch) – Standish Jn	Y *	Y	Y	N	N	N	N	N	
Western	0822	GW401	Standish Jn – Westerleigh Jn	Y	Y	Y	N	N	N	N	N	
Western	0822	GW425	Berkeley Road Jn – Sharpness	Y	N	N	N	N	N	N	N	
Western	0822	GW430	Yate Middle Jn – Tytherington	Y	N	N	N	N	N	N	N	
Western	0822	GW440	Yate South Jn – Westerleigh	Y	Y	Y	N	N	N	N	N	
Western	0822	GW450	Stoke Gifford Jn – Bristol East Jn	Y	Y	Y	N	N	N	N	N	
Western	0822	GW4501	Stoke Gifford Jn – Avonmouth (Bristol Bulk Handling Terminal)	Y *	Y	Y	N	N	N	N	N	
Western	0822	GW451	Filton Jn No 2 – Filton West Jn (Filton Chord)	Y	Y	Y	N	N	N	N	N	
Western	0822	GW454	Severn Beach – Narroways Hill Jn	Y *	N	N	N	N	N	N	N	
Western	0823	GW480	Swindon – Standish Jn	Y	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2616(h) x 2550(w) on KFA wagons 2896(h) x 2500(w) on FLA FAA IDA wagons 20mph Up Line 10mph Down Line Sapperton Long Tunnel [94m 70ch – 95m 74ch] 20mph Up Line only Bridge SWM1 Shepherds (aka Westrop Road) [104m 48ch]
Western	0823	GW490	Gloucester Yard Jn – Horton Road Jn	Y	Y	Y	N	N	N	N	N	
Western	0823	GW500	Reading – Heywood Road Jn via Lavington	Y *	Y	Y	R1 R2	R1 R2	R2 R3	R1 R2	R1 R2	R1 Between Reading Westbury Line Jn and Oxford Road Jn only R2 Prohibited Reading Bay platforms 1, 2 and 3 R3 Between Reading Westbury line Jn and Southcote Jn only
Western	0823	GW500	Heywood Road Jn – Castle Cary Jn via Westbury Avoiding Lines and Frome Avoiding Lines	Y *	Y	N	N	N	N	N	N	
Western	0823	GW500	Castle Cary Jn – Cogload Jn	Y *	Y	N	N	N	N	N	N	
Western	0823	GW500	Southcote Junction – Wessex Route Boundary [37m 76ch]	Y	Y	Y	Y	N	Y	N	N	
Western	0823	GW5001	Beechgrove GF – Westbury South Jn	Y	Y	Y	N	N	N	N	N	
Western	0823	GW510	Westbury North Jn – Bradford Jn	Y	Y	Y	N	N	N	N	N	
Western	0823	GW510	Bradford Jn – Bathampton Jn	Y	N	N	N	N	N	N	N	
Western	0824	GW520	Westbury East Loop Jn – Hawkeridge Jn	Y	Y	Y	N	N	N	N	N	
Western	0824	GW523	Thingley Jn – Bradford Jn	Y	Y	Y	N	N	N	N	N	
Western	0824	GW528	Bristol, North Somerset Jn – Bristol West Jn via St. Philips Marsh	Y	Y	Y	N	N	N	N	N	
Western	0824	GW530	Bristol, North Somerset Jn – Dr. Days Jn (Rhubarb Loop)	Y	Y	Y	N	N	N	N	N	
Western	0824	GW540	Filton Jn – Patchway Jn	Y	Y	Y	N	N	N	N	N	
Western	0824	GW5401	Filton West Jn – Patchway Jn	Y	Y	Y	N	N	N	N	N	
Western	0824	GW548	Parson Street Jn – Portbury	Y	Y	Y	Y	N	N	N	N	
Western	0824	GW560	Heywood Road Jn – Fairwood Jn via Westbury	Y	Y	Y	N	N	N	N	N	
Western	0824	GW570	Clink Road Jn – Blatchbridge Jn via Frome	Y *	Y	N	N	N	N	N	N	
Western	0824	GW572	Frome North Jn – Whatley Quarry	Y	N	N	N	N	N	N	N	
Western	0824	GW580	East Somerset Jn – Cranmore	Y	N	N	N	N	N	N	N	
Western	0824	GW600	Wootton Bassett Jn – Stoke Gifford Jn No 1 via Badminton	Y *	Y	Y	N	N	N	N	N	
Western	0824	GW600	Stoke Gifford Jn No 1 – Pilning	Y	Y	Y	N	N	N	N	N	
Western	0824	GW606	Cowley Bridge Jn – Barnstaple	Y *	N	N	N	N	N	N	N	
Western	0824	GW608	Crediton – Coleford (Meldon Line)	Y	N	N	N	N	N	N	N	
Western	0824	GW610	Crannaford LC (Inclusive) – Exeter St Davids	Y *	N	N	N	N	N	N	N	
Western	0824	GW611	Exmouth Jn – Exmouth	Y *	N	N	N	N	N	N	N	
Western	0824	GW618	Newton Abbott East Jn – Heathfield	Y	N	N	N	N	N	N	N	
Western	0825	GW620	Newton Abbott West Jn – Paignton	Y *	N	N	N	N	N	N	N	
Western	0825	GW628	Laira Jn/Lipson Jn – Plymouth Friary via Speedway Jn	Y	Y	N	N	N	N	N	N	
Western	0825	GW628	Plymouth Friary Jn. – Cattewater	Y	N	N	N	N	N	N	N	
Western	0825	GW637	St Budeaux Jn – Gunnislake	Y	N	N	N	N	N	N	N	
Western	0825	GW640	Liskeard – Looe via Coombe	Y *	N	N	N	N	N	N	N	
Western	0825	GW642	Coombe (Exclusive) – Moorswater	Y	N	N	N	N	N	N	N	
Western	0825	GW650	Lostwithiel – Carne Point, Fowey	Y *	N	N	N	N	N	N	N	
Western	0825	GW660	Par – St Blazey Jn	Y *	Y	N	N	N	N	N	N	
Western	0825	GW660	St Blazey Jn – Newquay	Y	N	N	N	N	N	N	N	
Western	0825	GW660	St Blazey Jn – Par Harbour (Imerys Boundary)	Y	Y	N	N	N	N	N	N	
Western	0825	GW672	Burngullow Jn – Parkandillack	Y	N	N	N	N	N	N	N	
Western	0825	GW680	Penwithers Jn – Falmouth	Y	Y	N	N	N	N	N	N	
Western	0825	GW690	St Erth – St Ives	Y	N	N	N	N	N	N	N	
Western	0825	GW700	Gloucester Barnwood Jn – Severn Tunnel Jn	Y *	Y	Y	N	N	N	N	N	
