ROUTE	PAGE	LINE OF ROUTE	LINE OF ROUTE / SECTOR DESCRIPTION	W6A	W7	W8	W9	W9PLUS	W10	W10A	W12	NOTES
London-North-Western-South	0650	MD355	Lichfield Trent Valley Junction – Lichfield Trent Valley (Chord Line)	Y	Y	Y	N	N	Y	Y	N	
London-North-Western-South	0650	MD360	Walsall, Pleck Junction – Darlaston Junction	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0650	MD365	Portobello Junction – Wolverhampton Crane Street Junction	Y	Y	Y	N	N	Y	N	N	
London-North-Western-South	0650	MD401	Heyford – Bordesley Junction via Dorridge	Y *	Y	Y	N	N	R1	N	N	R1 Prohibited from the Down & Up Hatton platform line (platform 3) at Hatton
London-North-Western-South	0650	MD405	Leamington Spa Junction – Coventry South Junction via Milverton Jn	Y	Y	Y	N	N	Y	N	N	
London-North-Western-South	0650	MD410	Coventry North Junction – Nuneaton South Junction via Bedworth	Y *	Y	Y	N	N	Y	N	N	
London-North-Western-South	0650	MD415	Hatton Station Junction – Stratford- upon-Avon via Bearley	Y *	Y	N	N	N	N	N	N	
London-North-Western-South	0650	MD420	Hatton North Junction – Hatton West Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0650	MD425	Tyseley South Junction – Bearley Junction via Shirley	Y *	Y	N	N	N	N	N	N	
London-North-Western-South	0651	MD430	Droitwich Spa – Stourbridge North Junction	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD435	Small Heath South Junction – Smethwick Junction via Birmingham Snow Hill	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0651	MD435	Smethwick Junction – Stourbridge North Junction	Y *	R1	R1	N	N	N	N	N	R1 W8 prohibited on the Down Line between Rowley Regis and Stourbridge North Junction. W7 15 mph on the Down Line and W7 W8 15 mph on the Up Line through Old Hill Tunnel. STNC to 30/12/2011
London-North-Western-South	0651	MD440	Galton Junction – Smethwick Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD445	Stourbridge Junction – Stourbridge Town	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0651	MD450	Stourbridge North Junction – Round Oak via Kingswinford Junction South	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD460	Fenny Compton Junction – Burton Dassett (MOD Kineton)	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD501	Tamworth (inclusive) – Water Orton East Junction	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0651	MD501	Water Orton East Junction – Landor Street Junction	Y *	Y	Y	Y	R1	Y	R1	R1	R1 Prohibited Water Orton West to Landor Street Jn
London-North-Western-South	0651	MD501	Landor Street Junction – Proof House Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0651	MD501	Duddeston Jn – Lawley Street FLT boundary	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0651	MD545	Kingsbury Junction – Whitacre Junction	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0651	MD555	Nuneaton North Junction – Water Orton East Junction via Arley	Y	Y	Y	Y	R1	Y	R1	R1	R1 Prohibited Nuneaton North Junction to Whitacre Jn
London-North-Western-South	0651	MD560	Water Orton West Junction – Park Lane Junction	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-South	0651	MD565	Castle Bromwich Junction – Ryecroft Junction via Park Lane Junction	Y *	Y	Y	Y	N	R1	N	N	R1 20mph through CBR2-21 at 37m 49ch and CRB2-20 at 37m 42ch on the Down Main line
London-North-Western-South	0651	MD570	Saltley (Landor Street Jn) – St Andrew’s Jn	Y *	Y	Y	N	N	Y	N	N	
London-North-Western-South	0651	MD570	St Andrew’s Jn – Bordesley Jn (Camp Hill lines)	Y *	Y	Y	N	N	Y	N	N	
London-North-Western-South	0651	MD570	Bordesley Jn – Kings Norton Jn (Camp Hill lines)	Y *	Y	N	N	N	N	N	N	
London-North-Western-South	0652	MD570	Saltley (Landor Street Junction) – Kings Norton Junction (Camp Hill Lines)	Y *	Y	R1	N	N	N	N	N	R1 W8 prohibited between Bordesley Junction and Kings Norton Junction
London-North-Western-South	0652	MD575	St Andrews Junction – Grand Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD580	Lifford East Junction – Lifford West Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0652	MD701	London Marylebone – Aynho Junction via Wycombe and Bicester	Y *	R1	N	N	N	N	N	N	R1 W7 prohibited between London Marylebone and Neasden South Junction
London-North-Western-South	0652	MD705	Greenford West Junction – South Ruislip	Y *	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD710	Neasden South Junction – Harrow- on-the-Hill South Junction (LUL/NR Boundary)	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD712	Amersham (LUL/NR Boundary [25m 20ch]) – Aylesbury	Y	R1	R1	N	N	N	N	N	R1 W7 and W8 prohibited between Mantles Wood [25m 20ch] and Aylesbury Junction.
London-North-Western-South	0652	MD715	Neasden South Junction – Neasden Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0652	MD720	Princes Risborough Junction – Aylesbury Junction	Y	Y	N	N	N	N	N	N	
London-North-Western-South	0652	MD725	Aylesbury – Claydon L&NE Junction	Y	R1	R1	N	N	N	N	N	R1 W8 prohibited between former Calvert Junction and Claydon L&NE Junction. W7 W8 15mph at Bridge No. 179 [42m 76ch] on Single Line
London-North-Western-South	0652	MD735	Denbigh Hall South – Swanbourne Sidings	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD735	Claydon L&NE Junction – Bicester	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0652	MD736	Route Boundary (GW277) –Gavray Junction	Y	Y	Y	Y	N	Y	N	Y	
London-North-Western-South	0652	MD736	Gavray Junction – Gates (Claydon)	R1	R1	R1	R1	N	R1	N	R1	R1 Prohibited temporary Buffer Stop (18m 46ch) to Gates (Claydon)
London-North-Western-South	0652	MD736	Gates (Claydon) – Buffer Stops	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Buffer Stops – Flyover Junction (Change of ELR)	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Flyover Junction (Change of ELR) – Flyover Junction Summit	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Flyover Junction Summit – Limit of Electrification	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Limit of Electrification – Bletchley Flyover North Jn	N	N	N	N	N	N	N	N	
London-North-Western-South	0652	MD736	Bletchley Flyover North Jn – Denbigh Hall South Jn	N	N	N	N	N	N	N	N	
London-North-Western-South	0653	MD740	Flyover Junction (Summit) – Fenny Stratford Bletchley Flyover Junction	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0653	MD745	Bicester South Jn – Gavray Jn	Y	Y	Y	Y	N	Y	N	Y	
London-North-Western-South	0653	MD801	Wolverhampton North Junction – Donnington Junction	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0653	MD801	Donnington Junction – Abbey Foregate (Exclusive) [170m 46ch]	Y *	Y	R1	N	N	N	N	N	R1
London-North-Western-South	0653	MD801	Donnington Junction – Donnington (T&WDC boundary)	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0653	MD805	Bushbury (Oxley) Junction – Stafford Road Junction	Y	N	N	N	N	N	N	N	
London-North-Western-South	0653	MD810	Madeley Junction – Ironbridge e-on Power Station	Y	N	N	N	N	N	N	N	
London-North-Western-South	0653	MD900	Abbotswood Jn – Stoke Works Jn via Worcester Shrub Hill	Y	Y	Y	N	N	N	N	N	
London-North-Western-South	0653	MD910	Pershore (excl) – Norton Jn	Y *	N	N	N	N	N	N	N	
London-North-Western-South	0653	MD940	Worcester Shrub Hill – Shelwick Jn	S1 *	N	N	N	N	N	N	N	S1
London-North-Western-South	0653	MD950	Worcester Tunnel Jn – Henwick	Y	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD101	LEC1	London Euston – Camden Jn DC Lines	0	00	1	36	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD101	LEC1	Camden Jn DC Lines – Camden Jn (NLL)	1	36	1	51	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD101	LEC1	Camden Jn – West London Jn (Willesden)	1	51	5	23	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD101	LLG	West London Jn (Willesden) – Sudbury Jn (Willesden Relief Lines)	0	12	2	03	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD101	LEC1	West London Jn (Willesden) – Harlesden Jn	5	23	6	01	N	N	N	N	N	N	N	
London-North-Western-South	0664	MD101	LEC1	Harlesden Jn – Watford South Jn	6	01	17	06	N	N	N	N	N	N	N	
