ROUTE	PAGE	LINE OF ROUTE	LINE OF ROUTE / SECTOR DESCRIPTION	GB1/2	W6A	W7	W8	W9	W9PLUS	W10	W10A	W12	NOTES
Anglia	0487	EA1400	Gas Factory Jn – Bow Jn	N	Y *	N	N	N	N	N	N	N	
Anglia	0487	EA1410	Upminster – West Thurrock Jn	N	Y *	Y	Y	Y	N	Y	N	N	
Anglia	0487	EA1420	Thames Haven Jn – Thames Haven	N	Y *	Y	Y	Y	N	Y	N	N	
Anglia	0487	EA1430	East Suffolk Jn – Westerfield Jn	N	Y	Y	Y	N	N	Y	N	N	
Anglia	0487	EA1430	Westerfield Jn – Oulton Broad North Jn	N	Y	N	N	N	N	N	N	N	
Anglia	0487	EA1440	Westerfield Jn – Felixstowe Beach Jn	N	Y*	Y	Y	N	N	Y	N	N	
Anglia	0487	EA1440	Felixstowe Beach Jn– Felixstowe Town	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0487	EA1450	Trimley – Port of Felixstowe North Quay Terminal	N	Y *	Y	Y	N	N	Y	N	N	
Anglia	0487	EA1460	Felixstowe Beach Jn – Felixstowe Beach	N	Y	Y	Y	N	N	Y	N	N	
Anglia	0488	EA1470	Norwich Thorpe Jn – Lowestoft	N	Y *	R1	R1	N	N	N	N	N	R1 W7 and W8 prohibited East of Oulton Broad North Jn. STNC NC/G1/2010/ICP-G/EA001 applies to 30/12/2012
Anglia	0488	EA1480	Whitlingham Jn – North Walsham (End of Station Loop)	N	Y *	R1	R1	N	N	N	N	N	R1 Prohibited on the Down road and 5mph on the Up road at Bridge No.370 at 08m 08ch between Salhouse and Wroxham.
Anglia	0488	EA1480	North Walsham (End of Station Loop) – Cromer	N	Y *	N	N	N	N	N	N	N	
Anglia	0488	EA1490	Cromer to Sheringham	N	Y	N	N	N	N	N	N	N	
Anglia	0488	EA1500	Brundall Jn – Yarmouth via Acle	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0488	EA1510	Reedham Jn – Yarmouth	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0488	EA1520	Saxmundham Jn – Sizewell	N	Y *	N	N	N	N	N	N	N	
Anglia	0488	EA1530	Coldham Lane Jn – Haughley Jn	N	Y	Y	Y	R1	R1	R1	N	N	R1 Prohibited Coldham Lane Jn to Chippenham Jn
Anglia	0488	EA1540	Chippenham Jn – Ely Dock Jn	N	Y *	Y	Y	Y	N	Y	N	N	
Anglia	0488	EA1550	Ely North Jn – Ely West Jn (Ely West Curve)	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0488	EA1560	Ely North Jn – Peterborough	N	Y	Y	Y	Y	N	Y	N	N	
Anglia	0488	EA1570	March (East & West Jns) – Whitemoor Jn	N	Y *	Y	Y	Y	N	Y	N	N	
Anglia	0488	EA1570	Whitemoor Jn – Wisbech	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0488	EA1580	Ely North Jn – Trowse Jn	N	Y	Y	Y	N	N	N	N	N	
Anglia	0488	EA1580	Ely North Jn – Trowse Jn	N	Y *	Y	Y	N	N	N	N	N	
Anglia	0488	EA1744	Europa Jn – Boss Hall Jn	N	Y	Y	Y	Y	Y	Y	Y	Y	
